id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
Ugzk5A_5WlCqCQ4WD_t4AaABAg,HeySup4K,2 days ago,1531936230172,Russia should be world's leader not usa.,0,false,0,,,,,,
UgycvHT4_aqQ9purqft4AaABAg,Morris,2 days ago,1531936230177,Really ironic how all the Trump supporters are on a Communist supported YouTube page.. COMMUNIST sympathizers and Traitors all of you!,1,true,1,,,,,,
,,,,,,,,UgycvHT4_aqQ9purqft4AaABAg.8ip864Rh6C_8ipDVRUq2e4,Omnipresent Baguette,2 days ago,1531936230704,"Morris RT is more tsar like then commie
The commie would be msnbc",1
Ugw_MxH5ygxda4dP60J4AaABAg,Star Top,2 days ago,1531936230187,"Isnt Trump trying to make America Great??? So if the Russians ""helped"" Trump win the election, that means that the Russians also want to make America Great as well. GO RUSSIA!!!! GO TRUMP!!!!",0,false,0,,,,,,
UgzHCStL8f7uENltZ9J4AaABAg,Luis Betancourt,2 days ago,1531936230193,I support Trump for not Blaming Russia for crooked Hillary Clinton LOSING!  #LockherUp #BernieBro 💯,4,false,0,,,,,,
UgxeUrwX1oSU4QN8yUl4AaABAg,Star Top,2 days ago,1531936230199,GOD BLESS RUSSIA!!! Thank you RUSSIA for protecting Syria and Iran.,1,false,0,,,,,,
Ugw6Jk2rae14gSISUZ54AaABAg,yojimbe1,2 days ago,1531936230209,Sad to say but Trump is a Zionist puppet.  Any influence the Russians might have had pales in comparison to the meddling of Zionism in our political system.,3,false,0,,,,,,
UgwDdPzxdlmjsqSLro14AaABAg,gotip58,2 days ago,1531936230216,"Sorry Putin - Trump is taking back the bone he threw you... LMAO

TRANSCRIPT: Trump backtracks on Russia comments
 the sentence should have been: I don't see any reason why it wouldn't be Russia. Sort of a double negative.

So you can put that in, and I think that probably clarifies things pretty good by itself.

I have, on numerous occasions, noted our intelligence findings that Russians attempted to interfere in our elections. Unlike previous administrations, my administration has and will continue to move aggressively to repeal any efforts -- and repel -- we will stop it, we will repel it -- any efforts to interfere in our elections. We're doing everything in our power to prevent Russian interference in 2018. 

https://www.cnn.com/2018/07/17/politics/trump-backtracks-russia-remarks-transcript/index.html",0,false,0,,,,,,
Ugwm7FO7WAzpU2O08e54AaABAg,doubleGi,2 days ago,1531936230221,"the enemy of usa isn't Russia, it isn't EU, it isn't China. The enemy has a god that says your heads should be chopped off if they have the upper hand.",0,false,0,,,,,,
Ugz_s7VqT-Bxuz1Hyd14AaABAg,gotip58,2 days ago,1531936230231,"LMAO

How Putin and Trump Each Lied in Helsinki
https://www.newyorker.com/news/our-columnists/how-putin-and-trump-each-lied-in-helsinki",0,false,0,,,,,,
UgwRdfLUVmyz_yUOnOl4AaABAg,Chris Di Dios,2 days ago,1531936230235,As a centrist I don't see what Trump did wrong? Any person with an I.Q over 80 would've understood what he said and the tone in which it was delivered. Get lost radical left media.,9,true,2,,,,,,
,,,,,,,,UgwRdfLUVmyz_yUOnOl4AaABAg.8ip3A3tOvv_8ipDQfJ69n5,Omnipresent Baguette,2 days ago,1531936230567,I know right,2
,,,,,,,,UgwRdfLUVmyz_yUOnOl4AaABAg.8ip3A3tOvv_8ip_INvCU8t,Scott Johnston,2 days ago,1531936230572,"The MSM isn't actual liberal. They may be socially liberal, but they smear anti-war and pro-worker progressives, and are full- on warmongers...",3
UgwAh2yn3tYfzDTfgRt4AaABAg,Will,2 days ago,1531936230253,Trump pivots again!,0,false,0,,,,,,
UgzZbCNb0qfhHkQEjwZ4AaABAg,Will,2 days ago,1531936230257,Trump is a moron elected by morons!!!,1,false,0,,,,,,
UgwYJMmJVzO9EEUXhDh4AaABAg,neonyx22,2 days ago,1531936230266,"Peace through strength, Or oppression?",0,false,0,,,,,,
UgzTvlu6TeZ7Z5m47ll4AaABAg,Papi Crema,2 days ago,1531936230274,"Trump says : if you can't beat him, join him..",1,true,1,,,,,,
,,,,,,,,UgzTvlu6TeZ7Z5m47ll4AaABAg.8iozbltjW658iq-YivPpnp,Papi Crema,2 days ago,1531936230590,INDEPENDENT INDEPENDENT cooperating with Putin is like cooperating with the devil.,0
Ugy-6uM7STsVeH5XDiZ4AaABAg,Tommi Sali,2 days ago,1531936230284,SUOMI TORILLA TAVATAAN,0,false,0,,,,,,
UgxbRimAo3sBdRvDxuJ4AaABAg,Sofian,2 days ago,1531936230288,"He's a joke, what I want to know is who are the people writing his papers, who's really in charge.",0,false,0,,,,,,
Ugwq5weLKkhk2zMsNpp4AaABAg,Jimbo Jones,2 days ago,1531936230297,"Yay! Trump now has 2 things to talk about! Putin, and the 2016 election.",0,false,0,,,,,,
UgyzBB0-1mf77EiVNt14AaABAg,albie071,2 days ago,1531936231396,The alphabet agencies are completely out of control. The President does not have any control on them. Try finding out where they spend the money tax payers give them.,0,false,0,,,,,,
UgwHVBgyDEZzGCWPpCF4AaABAg,albie071,2 days ago,1531936231402,"Somebody forgot to pay the electricity bill lol.
I don't like trump much, but he did his job when he finally met with Putin.",2,false,0,,,,,,
UgwMVmVh9L_vh9dSflN4AaABAg,gord oland,2 days ago,1531936231408,Must of been a great summit since the demon Madeline Albrite came out of her cave to speak out against Trump & Putin!,0,false,0,,,,,,
UgzjRH1ak8LPVG3WH9Z4AaABAg,TectonicTsunami,2 days ago,1531936231416,Trump got back to Washington DC and straight away he started backtracking and shitting on Putin = never trust the yanks.,1,false,0,,,,,,
UgzJigI_vgufgfwTwWB4AaABAg,Veracity North,2 days ago,1531936231420,Trump will be found guilty of treason very soon. Trump's a lying traitor.,1,false,0,,,,,,
Ugympx5JOE6MyG5ZTr14AaABAg,Author of my own thoughts,2 days ago,1531936231429,"Trump please do not back track like this again you said a doulble neg. well a doulble neg comes out positive any ways. It's like you said Hillery and all those supporting her which are a great deal of our intelligence they are criminal they are corrupt.   She destroyed evidence she should't have. Her email server has been blocked from your scrutiny and that is not right. We as a country ,mind you while under horrible leadership trashed out the leadership of various countrys in the middle east and what hiller did there, her an Obama is obscene. Also her hand in venezuela has led to pure crimes against humanity; and the work they did in honduras is just wrong. America has for years decided who we wanted in power in various nations.It's got to stop! people need to elect their own gov. and work with them free of  out side influence. I pray for your protection and a strung but resilient backbone. Keep at it you only succeed by keeping at it. I am proud of my president.",0,false,0,,,,,,
UgybX7-kwrzmYppw_hB4AaABAg,couldbey,2 days ago,1531936231431,Trump is the man,4,false,0,,,,,,
Ugxy-zvsLxSqrKkbXA14AaABAg,Z Z,2 days ago,1531936231441,Hope his knees do not hurt too much after Helsinki...,0,false,0,,,,,,
UgxLq6aMvrQnq5DROUF4AaABAg,warezone123,2 days ago,1531936231445,Yeah OK sure...lol,1,false,0,,,,,,
UgyZOjoHngn7U2Ew2K14AaABAg,M Skallywagg,2 days ago,1531936231453,"Cadet bone spurs loves a dictator, as he would love to be one, and this ass saying people should pay what they owe is ""pot kettle black"" after that all I hear is blah blah blah blah blah blah blah blah",0,false,0,,,,,,
UgxC8Y10i6AXyq2rj1t4AaABAg,Z Z,2 days ago,1531936231457,"Hahahahaha! That's the funniest shit I ever heard! Yeah, this was a very small absolutely insignificant correction - 'would' or 'wouldn't' - no big deal... -   like 'yes' vs 'no' - basically the same shit, right? Lol.",0,false,0,,,,,,
Ugxx2AGECXFWxCXwNqN4AaABAg,Sidious1,2 days ago,1531936231466,Fuck Trump,1,false,0,,,,,,
Ugxc0TlwEKFEWAjTicx4AaABAg,Warren Eiseburg,2 days ago,1531936231469,"The Left-wing Socialist fake news, the obstructionists Democrats, and the never Trumpers  are in for a rude awakening in November. Getting it dun with MAGA!! Trump 2020",1,false,0,,,,,,
